Погребна К.Ф.,1408
Бутенко М. В.,1407
Давиденко Т.В.,1405
Вадовська Л. М.,1402
Кисіль Роман Валерійович,1400
Лук'янчук О.В.,1400
Кабанячий Ю. В.,1398
Чепурнов Д.В.,1398
Ремецькі О.Ф.,1398
Ліпинський Олександр Вікторович,1397
Ткаченко С. В.,1396
Салтан Л. Г.,1396
Мірошниченко Л. Є.,1396
Круговий О.О.,1395
Спаських Н.М.,1394
Клименко А. Я.,1392
Корсун В.Л.,1391
В.С. Шембелян,1389
Соп`яненко Оксана Юріївна,1388
Мирошниченко Д. В.,1388
Майдан С. І.,1385
Білова О.В.,1385
Чернявська Л. М.,1384
Лісовська Н. В.,1382
Петрюк Т. М.,1381
Проскуряков К.В.,1380
Зінченко А.В.,1379
Мінаєв І. М.,1377
Спичак О.М.,1376
Кармазін О.А.,1374
Косик С. М.,1368
Марченко Н. Ю.,1367
Удалова О.Г.,1366
Ржепецький В.О.,1365
Борис О. Н.,1365
Сафронова С.В.,1364
Яковенко М.М.,1361
Скрипка І.М.,1358
Шейко Т.І.,1357
Капустинський М.М.,1357
Ващенко Т.М.,1356
Трофименко Т.Ю.,1354
Ваврушак Н. М.,1353
Демченко Е. Л.,1353
Новікова Рита Георгіївна,1351
Дмитрієв В.С.,1351
А.М. Бабич,1347
Панкеєва Вікторія Анатоліївна,1346
Біоносенко В. В.,1346
Чинчин О.В.,1345
Каращук Т. О.,1344
Карапута Л. В.,1343
Курило Валентина Панасівна,1342
Чабаненко С.В.,1340
Чумак С.Ю.,1340
Єжов В. А.,1339
Бітов А.І.,1337
Козлов Ю. В.,1334
Опалинська О. П.,1334
Лазарєв В.В.,1333
Савченко Л. І.,1332
Женеску Е. В.,1331
Невінгловська Ю.М.,1329
Таварткіладзе О. М.,1328
Посохов І. С.,1327
Андрієць Д. Д.,1326
Балац С.В.,1323
Мартюк А.І.,1323
Ковальчук Л. М.,1322
Войнарівський М. М.,1321
Шидловський В.Б.,1320
Рибачук А.І.,1319
Кравченко К.В.,1319
Чорний І. Я.,1319
Біленський О.О.,1319
Католікян М. О.,1316
Дмитрюк О. В.,1315
Арсірій Р.О.,1313
Гонтар Д. О.,1311
Мельниченко Ірина Федорівна,1311
Супрун Ю.О.,1310
Стеценко В. А.,1309
Чередник В. Є.,1308
Дорошенко Н.О.,1307
Крапівіна О. П.,1307
Дудар О.М.,1307
Казак С. Ю.,1305
Мачуський О. М.,1305
